Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
147,Sharjah American International Private school,2,2,3,4,3,4,4,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
148,Sheikh Rashid Bin Saeed Islamic Institute,3,3,3,,,4,5,,,4,4,,,3,4,,,3,3,,,3,3,,,3,3,,,3,3,,,5,5,,,3,3,3,3,4,3,3
149,Smart Vision School,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Springdales School LLC,2,3,3,5,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,4,4,3,3,4,3,4
151,St. Mary Catholic High School Dubai - Al Muhaisnah,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,St. Mary Catholic High School-Dubai,3,3,3,,4,4,5,,4,4,4,,3,3,4,,3,3,3,,3,3,3,,3,3,4,,3,3,3,,3,3,3,,3,3,3,4,3,4,3,3
153,Star International School,3,2,2,4,4,4,4,3,3,3,4,3,3,3,4,3,2,2,3,3,2,2,3,4,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,2,2,4,3,3
154,Star International School ( Branch ),2,3,3,4,4,,,3,4,,,3,3,,,3,3,,,3,3,,,4,4,,,3,3,,,4,4,,,3,3,,,3,3,4,3,4
155,Sunmarke School,3,3,4,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,5,3,4
156,Swiss International Scientific School,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,The Arcadia Preparatory School,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,The Central School,2,2,2,4,3,4,5,4,4,4,5,4,3,4,4,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3,3,2,2,3,2,2,2,2,2
160,The City School International Private,2,3,3,3,3,3,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
161,The English College Dubai,3,3,3,5,5,5,5,4,4,4,4,4,4,4,5,3,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,4,4,3,3
